Source,Target,Weight
262230432,249601656,1
516464106,2732818747,1
537951506,245556939,1
537951506,320656608,1
213969309,185314895,1
537951506,52686916,1
353786894,1707855049,1
516464106,707494670,1
537951506,60505763,1
213969309,24672558,1
213969309,296295534,1
214413743,84466455,1
516464106,336761705,1
353786894,516464106,1
353786894,82097756,1
213969309,344584770,1
507672047,41562632,1
353786894,27034001,1
213969309,18676177,1
262230432,1339896612,1
213969309,893586631,1
213969309,85452649,1
507672047,179414795,1
394892872,507534639,1
394892872,21710527,1
507672047,336079225,1
516464106,456144541,1
394892872,471287735,1
213969309,105803637,1
516464106,970815103,1
507672047,130467621,1
537951506,194940466,1
537951506,540198836,1
516464106,1151091,1
537951506,102323621,1
213969309,26589987,1
353786894,23791197,1
214413743,3007783135,1
394892872,906473618,1
353786894,24871778,1
213969309,24871896,1
213969309,50393960,1
516464106,266216541,1
214413743,3058916672,1
353786894,533085085,1
537951506,1295511949,1
214413743,133806392,1
394892872,989866222689947650,1
213969309,332131586,1
394892872,2993035001,1
394892872,472275933,1
394892872,273538402,1
537951506,171618490,1
537951506,589339566,1
394892872,3414378138,1
213969309,307855451,1
214413743,1962711,1
537951506,539297117,1
516464106,1542453360,1
213969309,27844479,1
213969309,105297123,1
537951506,951849552,1
516464106,3960648324,1
516464106,164786871,1
902951244549038081,1143472657,1
353786894,21396136,1
353786894,108247668,1
353786894,318967677,1
394892872,1018343204,1
394892872,291278023,1
262230432,56672870,1
213969309,139376363,1
394892872,43184334,1
213969309,26032912,1
353786894,259185692,1
537951506,466649242,1
213969309,274986503,1
213969309,1925933000,1
353786894,116504344,1
516464106,226813577,1
353786894,259925559,1
213969309,1652460752,1
213969309,1947121086,1
902951244549038081,2222976084,1
262230432,26235265,1
394892872,2742194289,1
902951244549038081,38170974,1
214413743,321021481,1
353786894,79412477,1
537951506,59394230,1
394892872,1143472657,1
537951506,2810013486,1
507672047,39814938,1
213969309,290097288,1
507672047,242070473,1
213969309,397306167,1
516464106,156635674,1
394892872,2222976084,1
213969309,190606404,1
516464106,81667386,1
394892872,2471739785,1
213969309,1186304538,1
516464106,63145571,1
516464106,1623965174,1
353786894,403939262,1
353786894,624930899,1
394892872,285332860,1
394892872,804843254,1
262230432,277375907,1
213969309,44571430,1
394892872,312652819,1
262230432,168630392,1
353786894,112785317,1
394892872,38170974,1
213969309,255388236,1
516464106,2633624624,1
537951506,301426313,1
394892872,514005567,1
516464106,3053277658,1
394892872,63945621,1
213969309,54502344,1
353786894,45112524,1
213969309,46335511,1
537951506,24871896,1
516464106,2287246848,1
353786894,278694865,1
353786894,151398671,1
262230432,3077582127,1
353786894,217461138,1
213969309,15531225,1
537951506,17508484,1
213969309,10926872,1
537951506,330086731,1
